,quantifier,dataset,abs_error,run_time
1855,(REG)Top-8,default_credit_card_clients,0.07842309326244788,1.508736187999275
1856,(REG)Top-8,delta_ailerons,0.017846092137455388,0.5685265699996126
1857,(REG)Top-8,eeg,0.1402406719548071,0.9074276869998176
1858,(REG)Top-8,electricity-normalized,0.054256916235482844,2.275314466000327
1859,(REG)Top-8,elevators,0.02819916329079692,0.9568862025002273
1860,(REG)Top-8,file22f0e4a679,0.011059070167280124,0.32688688250045744
1861,(REG)Top-8,file79b563a1a18,0.04920718164117813,0.3976326980003978
1862,(REG)Top-8,file7b5365fa741c,0.03911789622839277,0.4401952329997403
1863,(REG)Top-8,fri_c2_1000_10,0.07696518903851263,0.3206513600002836
1864,(REG)Top-8,fried,0.035558705730641946,1.9989373160000832
1865,(REG)Top-8,gina_agnostic,0.03954421799399216,0.40346583649974493
